Lang Code,Lang Name
ak,Akan
ar,Arabic
as,Assamese
bm,Bambara
bn,Bangla
ca,Catalan
code,Code
en,English
es,Spanish
eu,Basque
fon,Fon
fr,French
gu,Gujarati
hi,Hindi
id,Indonesian
ig,Igbo
ki,Kikuyu
kn,Kannada
lg,Ganda
ln,Lingala
ml,Malayalam
mr,Marathi
nso,Northern Sotho
ny,Nyanja
or,Oriya
pa,Punjabi
pt,Portuguese
rn,Rundi
rw,Kinyarwanda
sn,Shona
st,Southern Sotho
sw,Swahili
ta,Tamil
te,Telugu
tn,Tswana
ts,Tsonga
tum,Tumbuka
tw,Twi
ur,Urdu
vi,Vietnamese
wo,Wolof
xh,Xhosa
yo,Yoruba
zhs,Chinese (Simplified)
zht,Chinese (Traditional)
zu,Zulu